state,county,year,prim_or_gen,treat,vca18,vca20,vca_eligible18,vca_eligible20,all_mail2006,ut_all_mail_year,switch_year,registered,ballots_cast,eligible,cvap,vbm_share,turnout_share,turnout_of_reg,dem_share_gov,dem_share_pres,dem_share_sen,share_votes_dem,share_votes_rep,county_id,state_year_id,pres,prim
CA,Alameda,2000,general,0,0.0,0.0,0.0,1.0,,,,,,,,,,,,0.7419142127037048,,0.615645,0.1710544,1,2,1,0
CA,Alameda,2004,general,0,0.0,0.0,0.0,1.0,,,,742258.0,567915.0,955460.0,,0.365479,0.6263001,0.76511806,,0.7634834051132202,,0.6020465,0.15194906,1,4,1,0
CA,Alameda,2008,general,0,0.0,0.0,0.0,1.0,,,,803009.0,628545.0,987688.0,,0.48334965,0.6857087,0.7827372,,0.8035770058631897,,0.5999034,0.13471746,1,6,1,0
CA,Alameda,2012,general,0,0.0,0.0,0.0,1.0,,,,810836.0,602479.0,1004357.0,970755.0,0.5534616,0.6206293,0.74303436,,0.8127905130386353,,0.60467654,0.12840633,1,8,1,0
CA,Alameda,2016,general,0,0.0,0.0,0.0,1.0,,,,888664.0,670245.0,1069959.0,1040380.0,0.66391844,0.64423096,0.75421643,,0.8429475426673889,,0.59712166,0.11618918,1,10,1,0
CA,Alameda,2020,gen,0,,,,,,,,,,,,,,,,0.8192111601553381,,,,1,37,1,0
CA,Alameda,2024,gen,1,,,,,,,,,,,,,,,,,,,,1,39,1,0
CA,Alpine,2000,general,0,0.0,0.0,0.0,1.0,,,,,,,,,,,,0.4853479862213135,,0.46349207,0.30476192,2,2,1,0
CA,Alpine,2004,general,0,0.0,0.0,0.0,1.0,,,,827.0,714.0,965.0,,1.0,0.81548226,0.86336154,,0.5453216433525085,,0.44951922,0.29567307,2,4,1,0
CA,Alpine,2008,general,0,0.0,0.0,0.0,1.0,,,,816.0,697.0,901.0,,1.0,0.8386364,0.8541667,,0.6261127591133118,,0.4476386,0.28336754,2,6,1,0
CA,Alpine,2012,general,0,0.0,0.0,0.0,1.0,,,,773.0,656.0,869.0,900.0,1.0,0.72888887,0.84864163,,0.6223999857902527,,0.45124283,0.2715105,2,8,1,0
CA,Alpine,2016,general,0,0.0,0.0,0.0,1.0,,,,722.0,621.0,951.0,895.0,1.0,0.69385475,0.8601108,,0.6061705946922302,,0.44620812,0.27689594,2,10,1,0
CA,Alpine,2020,gen,0,,,,,,,,,,,,,,,,0.6611111111111111,,,,2,37,1,0
CA,Alpine,2024,gen,0,,,,,,,,,,,,,,,,,,,,2,39,1,0
CA,Amador,2000,general,0,0.0,1.0,0.0,1.0,,,,,,,,,,,,0.40253543853759766,,0.321756,0.49617085,3,2,1,0
CA,Amador,2004,general,0,0.0,1.0,0.0,1.0,,,,20475.0,18088.0,25240.0,,0.4050752,0.6298294,0.8834188,,0.370636910200119,,0.31101716,0.48649284,3,4,1,0
